,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
44,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r11y10g06b19.jpeg,Red\r05y40g33b16.jpeg,11,05,10,40,06,33,19,16,-1,-1,0,0,1,1,0,2.882,1.834,0,0,2nd time,2nd time
45,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r17y22g16b15.jpeg,Red\r27y31g17b12.jpeg,17,27,22,31,16,17,15,12,1,-1,-1,0,0,1,1,1.844,2.141,4.03,0,2nd time,2nd time
46,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r10y02g36b05.jpeg,Red\r32y16g04b09.jpeg,10,32,02,16,36,04,05,09,-1,1,1,0,0,1,1,3.537,3.211,2.566,0,2nd time,2nd time
47,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r20y04g39b23.jpeg,Red\r03y11g01b26.jpeg,20,03,04,11,39,01,23,26,-1,1,0,-1,0,1,0,3.31,1.907,0,3.075,2nd time,2nd time
48,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r16y21g04b04.jpeg,Red\r21y31g06b08.jpeg,16,21,21,31,04,06,04,08,1,-1,-1,0,1,0,0,1.772,1.65,3.912,0,2nd time,2nd time
49,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r23y34g09b11.jpeg,Red\r10y07g11b10.jpeg,23,10,34,07,09,11,11,10,1,-1,0,-1,0,1,1,2.016,1.442,0,2.051,2nd time,2nd time
50,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r21y03g15b37.jpeg,Red\r10y13g07b36.jpeg,21,10,03,13,15,07,37,36,1,1,0,0,0,0,0,1.553,1.248,0,0,2nd time,2nd time
51,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r09y02g05b02.jpeg,Red\r07y02g03b06.jpeg,09,07,02,02,05,03,02,06,1,1,0,0,1,1,0,1.653,5.277,0,0,2nd time,2nd time
52,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r11y13g22b35.jpeg,Red\r14y08g21b39.jpeg,11,14,13,08,22,21,35,39,1,-2,1,0,1,0,1,1.43,1.939,2.622,0,2nd time,2nd time
53,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r22y23g20b06.jpeg,Red\r13y21g23b09.jpeg,22,13,23,21,20,23,06,09,1,1,0,0,1,1,0,1.412,2.641,0,0,2nd time,2nd time
54,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r30y03g14b24.jpeg,Red\r18y19g14b27.jpeg,30,18,03,19,14,14,24,27,1,1,0,0,1,1,0,1.356,1.135,0,0,2nd time,2nd time
55,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r15y16g12b03.jpeg,Rep\r17y20g40b07.jpeg,15,17,16,20,12,40,03,07,1,1,0,0,1,1,0,2.471,1.467,0,0,2nd time,2nd time
56,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r37y22g19b02.jpeg,Red\r36y05g11b03.jpeg,37,36,22,05,19,11,02,03,1,1,0,0,1,1,0,3.028,2.089,0,0,2nd time,2nd time
